utc_ts,utc_dt,spot_usd_price,instrument_name,quote_currency,base_currency,volume,open_interest,type,strike,underlying_price,expiry,time_to_expiry,low,high,last,bid_price,ask_price,mid_price,mark_price,usd_bid,usd_ask,usd_mid,usd_mark,iv_bid,iv_ask,iv_mid,iv_mark,apy_bid,apy_ask,apy_mid,apy_mark,premium
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-14000-P,BTC,BTC,8.0,356.2,p,14000,19130.26,2023-03-31 08:00:00,0.4662362396956246,0.0685,0.0685,0.0685,0.068,0.071,0.0695,0.06946834,1297.083,1354.3072499999998,1325.6951250000002,1325.091218415,0.7303672928181405,0.7464189517401643,0.7384070775453593,0.7382376775527443,0.1458488084160785,0.152283314669729,0.14906606154290378,0.14899815605357355,1297.083
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-15000-P,BTC,BTC,404.0,1417.0,p,15000,19130.26,2023-03-31 08:00:00,0.4662362396956246,0.0862,0.089,0.0865,0.0845,0.088,0.08625,0.08625762,1611.816375,1678.578,1645.1971875,1645.342537095,0.7139969377652848,0.7308398464059089,0.7224273412189635,0.7224640097560547,0.18123859281115637,0.18874551677374862,0.18499205479245248,0.18500839843833675,1611.816375
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-16000-P,BTC,BTC,2.0,65.4,p,16000,19130.26,2023-03-31 08:00:00,0.4662362396956246,0.105,0.105,0.105,0.104,0.1075,0.10575,0.10564195,1983.774,2050.535625,2017.1548125,2015.0937857625,0.7016329017095151,0.7170742486011105,0.7093568296004527,0.708880125250066,0.22306288345988473,0.230569807422477,0.22681634544118087,0.22658459597427857,1983.774
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-17000-P,BTC,BTC,1.0,162.4,p,17000,19130.26,2023-03-31 08:00:00,0.4662362396956246,0.128,0.128,0.128,0.126,0.1295,0.12775,0.1275214,2403.4185,2470.180125,2436.7993125000003,2432.4388246500002,0.6902596685400713,0.7046770871105581,0.697468555036094,0.6965268925940633,0.27024926265332194,0.27775618661591417,0.27400272463461806,0.2735124152580899,2403.4185
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-18000-P,BTC,BTC,0.0,69.6,p,18000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,0.142,0.15,0.154,0.152,0.15195842,2861.2125,2937.5115,2899.362,2898.568871895,0.6778151378330034,0.6934604021923911,0.6856360800222461,0.6854734486121471,0.3217253126825261,0.3303046543540601,0.3260149835182931,0.3259258012616175,2861.2125
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-19000-P,BTC,BTC,0.0,97.2,p,19000,19130.21,2023-03-31 08:00:00,0.4662362396956246,,,0.177,0.177,0.181,0.179,0.17838791,3376.2307499999997,3452.5297499999997,3414.3802499999997,3402.7047862725003,0.6683165137763991,0.6834061460003852,0.6758590969345637,0.6735502554205081,0.37963586896538076,0.3882152106369148,0.38392553980114774,0.38261270749021553,3376.2307499999997
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-20000-P,BTC,BTC,0.3,533.5,p,20000,19130.21,2023-03-31 08:00:00,0.4662362396956246,0.208,0.21,0.21,0.1995,0.214,0.20675,0.20786865,3805.4126250000004,4081.9964999999997,3943.7045624999996,3965.0425315875,0.6340686628807422,0.6875755272589413,0.660799798024329,0.6649281994689882,0.4278946658677597,0.4589947794270705,0.4434447226474151,0.4458440427876305,3805.4126250000004
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-21000-P,BTC,BTC,75.0,84.8,p,21000,19130.26,2023-03-31 08:00:00,0.4662362396956246,0.2407,0.2411,0.2411,0.2035,0.2765,0.24,0.23997825,3881.711625,5274.168375,4577.94,4577.5251241875,0.5245492401119015,0.7921369252343529,0.6582666425442042,0.6581870176745837,0.4364740075392937,0.5930469930447898,0.5147605002920417,0.5147138501217028,3881.711625
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-22000-P,BTC,BTC,0.0,59.7,p,22000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,0.28,0.24,0.3085,0.27425,0.27466975,4577.94,5884.560375,5231.2501875,5239.2568138125,0.5251718220754713,0.7775261971519877,0.651996504283119,0.6535392807292216,0.5147605002920417,0.6616817264170619,0.5882211133545518,0.5891214080212084,4577.94
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-23000-P,BTC,BTC,0.0,45.9,p,23000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,0.305,0.2815,0.3475,0.3145,0.31144883,5369.542124999999,6628.475624999999,5999.008875,5940.8085700425,0.5364250570442735,0.782917568275236,0.661075554479738,0.6497081484728453,0.6037711701342071,0.7453303077145187,0.674550738924363,0.6680064814423794,5369.542124999999
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-24000-P,BTC,BTC,0.0,226.3,p,24000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,0.3885,0.31,0.389,0.3495,0.35016252,5913.1725,7420.07775,6666.625125,6679.26252837,0.48745250360352843,0.7924039817469796,0.6441903248980871,0.6467226476400076,0.6648989795438872,0.8343409775566843,0.7496199785502857,0.7510409749113419,5913.1725
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-25000-P,BTC,BTC,0.0,227.9,p,25000,19130.21,2023-03-31 08:00:00,0.4662362396956246,,,0.39,0.3485,0.4325,0.3905,0.39084505,6647.550375,8249.829375,7448.689875,7455.2716174875,0.4674438056983172,0.8048214388130521,0.644015584705669,0.6453772352463917,0.7474751431324023,0.9276413182346168,0.8375582306835095,0.8382983061444503,6647.550375
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-26000-P,BTC,BTC,0.0,22.9,p,26000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,0.438,0.3885,0.4765,0.4325,0.43315213,7410.5403750000005,9089.118375,8249.829375,8262.2685917175,0.44241472927809794,0.8151749079018045,0.6424012574769994,0.6450775148357483,0.8332685598477426,1.0220140766214911,0.9276413182346168,0.9290400297556812,7410.5403750000005
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-27000-P,BTC,BTC,0.0,5.1,p,27000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,0.455,0.4295,0.522,0.47575,0.47678302,8192.605125,9957.0195,9074.8123125,9094.516910745,0.40653356944828406,0.8277209598261831,0.6408361783243932,0.6452722646499212,0.9212068119809663,1.1196040881351907,1.0204054500580786,1.0226211079414607,8192.605125
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-28000-P,BTC,BTC,0.0,176.6,p,28000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,0.4985,0.4725,0.5685,0.5205,0.52176527,9012.819375,10843.995375,9928.407374999999,9952.5420839325,0.35740985587332946,0.8410649496674821,0.6410673239515451,0.6467753233372225,1.013434734949957,1.2193389350667738,1.1163868350083654,1.1191006309175509,9012.819375
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-29000-P,BTC,BTC,0.0,0.0,p,29000,19130.21,2023-03-31 08:00:00,0.4662362396956246,,,,0.517,0.616,0.5665,0.56755884,9861.64575,11750.046,10805.845875,10826.04298329,,0.8556438064930617,0.6427762213832621,0.6478129151500881,1.1088799110457732,1.3212186174162404,1.215049264231007,1.2173203017648786,9861.64575
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-30000-P,BTC,BTC,5.0,273.8,p,30000,19130.26,2023-03-31 08:00:00,0.4662362396956246,0.619,0.619,0.619,0.585,0.654,0.6195,0.61391631,11158.72875,12474.8865,11816.807625000001,11710.300134172501,0.4744583760857132,0.8286648512464938,0.675154276236583,0.647649303380941,1.2547287194618517,1.4027223632958137,1.3287255413788328,1.316749445304351,11158.72875
